Item No.,Item Description
X6PBT250,"TERMINAL PIGGY-BACK NYLON-INS  16-14 GAUGE, .250"" TAB"
SL18,"ELECTRICAL CONNECTOR-TAP 22-18 GA, RED"
6SB10,"TERMINAL SPADE NYLON-INS 16-14 GAUGE, #10 STUD"
6SA10,"TERMINAL SPADE NYLON-INS 22-18 GAUGE, #10 STUD"
XRSCD2VFN,3M ROLOC SURF COND DISC 2 VERY FINE TEAL
XDY49634,DIELECTRIC GREASE 1 OUNCE
X16X30M,"HEX CAP SCREW BOLT METRIC ZINC M16-2.0 X 30, CL 8.8"
XM5X0.8N10,HEX NUT METRIC ZINC M5-0.8 CL 10
14X34F8,"HEX CAP SCREW BOLT UNF ZINC 1/4""-28 X 3/4"", GR 8"
8N3824,"HEX NUT UNF ZINC 3/8""-24 GR 8"
8LW50,"LOCK WASHER SPLIT USS ZINC 1/2"" HIGH ALLOY"
8N1213,"HEX NUT UNC ZINC 1/2""-13 GR 8"
76X1C8,"HEX CAP SCREW BOLT UNC ZINC 7/16""-14 X 1"", GR 8"
56X34C8,"HEX CAP SCREW BOLT UNC ZY 5/16""-18 X 3/4"", GR 8"
38X114C8,"HEX CAP SCREW BOLT UNC ZY 3/8""-16 X 1-1/4"", GR 8"
14X114F8,"HEX CAP SCREW BOLT UNF ZINC 1/4""-28 X 1-1/4"", GR 8"
12X234C8,"HEX CAP SCREW BOLT UNC ZINC 1/2""-13 X 2-3/4"", GR 8"
14X212C8,"HEX CAP SCREW BOLT UNC ZINC 1/4""-20 X 2-1/2"", GR 8"
14X214C8,"HEX CAP SCREW BOLT UNC ZY 1/4""-20 X 2-1/4"", GR 8"
56X212C8,"HEX CAP SCREW BOLT UNC ZINC 5/16""-18 X 2-1/2"", GR 8"
8N1220,"HEX NUT UNF ZINC 1/2""-20 GR 8"
MWHS18-12,"HEAT SHRINK MULTI-WALL 12"" STK 1/8"" ID, BLACK, 3:1 S/R"
MWHS36-12,"HEAT SHRINK MULTI-WALL 12"" STK 3/16"" ID, BLACK, 3:1 S/R"
MWHS34-12,"HEAT SHRINK MULTI-WALL 12"" STK 3/4"" ID, BLACK, 3:1 S/R"
MWHS12-12,"HEAT SHRINK MULTI-WALL 12"" STK 1/2"" ID, BLACK, 3:1 S/R"
XCOW3X16X38,"CUT OFF WHEEL HIGH SPD TYPE 1 3"" DIAM, 1/16"" W, 3/8"" BORE"
AGC30,"FUSE - AGC 1/4"" X 1-1/4"", 30 AMP"
MAX20,"FUSE - MAXI 20 AMP, YELLOW"
BTL,"BATTERY TERMINAL - TOP POST LEAD, UNIVERSAL, 6 GA-1 GA"
PSWT,PIPE SEALANT  W/PTFE NET WT 50 ML TUBE
6FRB250,"TERMINAL FEMALE NYLON-INS 16-14 GAUGE, .250"" TAB"
2TY15HD,"CABLE TIE 15"", BLACK, 120 LB TS, HD"
TL242-2,"THREADLOCKER-MEDIUM STRENGTH 50 ML BOTTLE, BLUE"
TL271-2,"THREADLOCKER-HIGH STRENGTH 50 ML BOTTLE, RED"
38X1F8,"HEX CAP SCREW BOLT UNF ZINC 3/8""-24 X 1"", GR 8"
38X114F8,"HEX CAP SCREW BOLT UNF ZINC 3/8""-24 X 1-1/4"", GR 8"
38X2F8,"HEX CAP SCREW BOLT UNF ZINC 3/8""-24 X 2"", GR 8"
14X134C8,"HEX CAP SCREW BOLT UNC ZINC 1/4""-20 X 1-3/4"", GR 8"
76X114F8,"HEX CAP SCREW BOLT UNF ZINC 7/16""-20 X 1-1/4"", GR 8"
76X234F8,"HEX CAP SCREW BOLT UNF ZINC 7/16""-20 X 2-3/4"", GR 8"
XFW18M,FLAT WASHER METRIC ZINC M18
XM5X20P,METRIC MACH. SCREW PHILLIPS PAN HD M5-0.80 X 20
T5520,"TAPE PTFE THREAD SEAL 1/2"" X 520"""
X3152X4,"BRASS PIPE HEX PLUG 1/4"" MALE"
X3152X2,"BRASS PIPE HEX PLUG 1/8"" MALE"
X3152X6,"BRASS PIPE HEX PLUG 3/8"" MALE"
X3220X4X2,"BRASS PIPE BUSHING 1/4"" MALE X 1/8"" FEMALE"
X3300X6,"BRASS PIPE HEX COUPLING 3/8"""
XML2038,"MAGNUM LUG 2/0 GAUGE 3/8"" STUD"
XML138,"MAGNUM LUG 1-2 GAUGE 3/8"" STUD"
8SFW56,"FLAT WASHER SAE ZINC 5/16"" THRU HARDENED"
38X134F8,"HEX CAP SCREW BOLT UNF ZINC 3/8""-24 X 1-3/4"", GR 8"
8N3816,"HEX NUT UNC ZINC 3/8""-16 GR 8"
14X1C8,"HEX CAP SCREW BOLT UNC ZINC 1/4""-20 X 1"", GR 8"
14X114C8,"HEX CAP SCREW BOLT UNC ZINC 1/4""-20 X 1-1/4"", GR 8"
76X2C8,"HEX CAP SCREW BOLT UNC ZINC 7/16""-14 X 2"", GR 8"
8N7620,"HEX NUT UNF ZINC 7/16""-20 GR 8"
5321RP,"ROLL PIN - PLAIN FINISH 5/32"" X 1"""
141RP,"ROLL PIN - PLAIN FINISH 1/4"" X 1"""
532X1CP,"COTTER PIN - ZINC 5/32"" X 1"""
8LW14,"LOCK WASHER SPLIT USS ZINC 1/4"" HIGH ALLOY"
8LW56,"LOCK WASHER SPLIT USS ZINC 5/16"" HIGH ALLOY"
8LW96,"LOCK WASHER SPLIT USS ZINC 9/16"" HIGH ALLOY"
SL14-6,"ELECTRICAL CONNECTOR-TAP 18-14 GA, BLUE"
ATO15QPAK,"FUSE - ATO/ATC 15 AMP, BLUE"
ATO10QPAK,"FUSE - ATO/ATC 10 AMP, RED"
ATO3QPAK,"FUSE - ATO/ATC 3 AMP, VIOLET"
MIN20QPAK,FUSE - MINI 20 AMP - YELLOW
TD38,"TEK DRIVER-HEX HEAD-MAGNETIC 3/8"""
TD14,"TEK DRIVER-HEX HEAD-MAGNETIC 1/4"""
FW1X1X120,"FLAP WHEEL W/1/4""MANDREL 1"" DIAM, 1"" W, 120 GRIT"
XUA27349,W236 1-1/2 X 1/2 X 1/4 A60R
XUA27040,MOUNTED POINT A11 60 GRIT